film,IMDb ID,Genres
Lone Star,tt0116905,"Mystery, Western, Drama"
Good Will Hunting,tt0119217,"Drama, Romance"
The Apostle,tt0118632,Drama
Ulee's Gold,tt0120402,Drama
Wag the Dog,tt0120885,"Drama, Comedy"
As Good as It Gets,tt0119822,"Drama, Comedy, Romance"
Jackie Brown,tt0119396,"Crime, Drama, Thriller"
Amistad,tt0118607,"Biography, Drama, History"
Boogie Nights,tt0118749,Drama
The Wings of the Dove,tt0120520,"Drama, Romance"
Afterglow,tt0118566,"Drama, Comedy, Romance"
Mrs. Brown,tt0119280,"Biography, Drama, History, Romance"
Titanic,tt0120338,"Drama, Romance"
L.A. Confidential,tt0119488,"Crime, Mystery, Drama"
In & Out,tt0119360,"Comedy, Romance"
Gattaca,tt0119177,"Thriller, Drama, Sci-Fi"
Kundun,tt0119485,"Biography, War, Drama, History"
Men in Black,tt0119654,"Adventure, Action, Comedy, Sci-Fi"
Oscar and Lucinda,tt0119843,"Drama, Romance"
The Full Monty,tt0119164,"Drama, Comedy"
The Sweet Hereafter,tt0120255,Drama
Ayn Rand: A Sense of Life,tt0118662,"Biography, Documentary"
Colors Straight Up,tt0126249,Documentary
4 Little Girls,tt0118540,"Documentary, History"
The Long Way Home,tt0143436,"Adventure, Drama, Family"
Waco: The Rules of Engagement,tt0120472,"Documentary, History"
Alaska: Spirit of the Wild,tt0130445,"Documentary, Short"
Amazon,tt0205737,Adventure
Daughter of the Bride,tt21106970,Comedy
Still Kicking: The Fabulous Palm Springs Follies,tt0141856,"Music, Documentary, Short"
A Story of Healing,tt0141858,"Documentary, Short"
Air Force One,tt0118571,"Crime, Action, Drama, Thriller"
Beyond Silence,tt0116692,"Drama, Music"
Character,tt0119448,"Crime, Mystery, Drama, Thriller"
Four Days in September,tt0119815,"Thriller, Action, Drama, History"
Secrets of the Heart,tt0120090,Drama
The Thief,tt0045230,"Crime, Drama, Film-Noir, Thriller"
Anastasia,tt0118617,"Animation, Drama, Mystery, Family, Musical, Romance, Adventure, Fantasy"
My Best Friend's Wedding,tt0119738,"Drama, Comedy, Romance"
Hercules,tt0119282,"Adventure, Animation, Action, Comedy"
Con Air,tt0118880,"Crime, Action, Thriller"
Famous Fred,tt0141005,"Animation, Short, Musical"
Geri's Game,tt0131409,"Family, Animation, Short, Comedy"
La Vieille Dame et les Pigeons (The Old Lady and the Pigeons),Not found,N/A
The Mermaid,tt4701660,"Fantasy, Drama, Comedy, Romance"
Redux Riding Hood,tt0141560,"Animation, Comedy, Family, Short, Sci-Fi"
Dance Lexie Dance,tt0140934,Short
It's Good to Talk,tt0141401,Short
Sweethearts?,tt0141868,"Short, Family"
Visas and Virtue,tt0141963,"Biography, Drama, War, Short"
Wolfgang,tt11146690,"Biography, Documentary"
Face/Off,tt0119094,"Crime, Action, Thriller, Sci-Fi"
The Fifth Element,tt0119116,"Adventure, Action, Sci-Fi"
The Lost World: Jurassic Park,tt0119567,"Adventure, Action, Sci-Fi"
Starship Troopers,tt0120201,"Adventure, Action, Thriller, Sci-Fi"
Donnie Brasco,tt0119008,"Biography, Drama, Crime"
Deconstructing Harry,tt0118954,Comedy
Life Is Beautiful,tt0118799,"War, Drama, Comedy, Romance"
Saving Private Ryan,tt0120815,"War, Drama"
Gods and Monsters,tt0120684,"Biography, Drama"
Affliction,tt0118564,"Thriller, Mystery, Drama"
American History X,tt0120586,"Crime, Drama"
A Civil Action,tt0120633,"Biography, Drama"
The Truman Show,tt0120382,"Drama, Comedy"
Shakespeare in Love,tt0138097,"History, Drama, Comedy, Romance"
A Simple Plan,tt0120324,"Crime, Drama, Thriller"
Elizabeth,tt0127536,"Biography, Drama, History"
Central Station,tt0140888,Drama
One True Thing,tt0120776,Drama
Hilary and Jackie,tt0150915,"Biography, Drama, Music"
Primary Colors,tt0119942,"Drama, Comedy"
Little Voice,tt0147004,"Romance, Drama, Comedy, Music"
Pleasantville,tt0120789,"Fantasy, Drama, Comedy"
What Dreams May Come,tt0120889,"Fantasy, Drama, Romance"
The Thin Red Line,tt0120863,"War, Drama, History"
Beloved,tt0120603,"Horror, Mystery, Drama, History"
Velvet Goldmine,tt0120879,"Drama, Music"
Dancemaker,tt0175550,Documentary
"The Farm: Angola, U.S.A.",tt0139193,Documentary
The Last Days,tt0174852,"War, Documentary"
Lenny Bruce: Swear to Tell the Truth,tt0175844,"Biography, Documentary, Comedy"
Regret to Inform,tt0181786,"War, Documentary"
The Personals: Improvisations on Romance in the Golden Years,tt0176018,"Documentary, Short"
A Place in the Land,tt0189009,"Documentary, Short"
Sunrise over Tiananmen Square,tt0189121,"Biography, Animation, Documentary, Short"
Out of Sight,tt0120780,"Drama, Comedy, Crime, Thriller, Romance"
Children of Heaven,tt0118849,"Sport, Drama, Family"
The Grandfather,tt0176415,Drama
Tango,tt0120274,"Drama, Musical"
A Bug's Life,tt0120623,"Adventure, Animation, Family, Comedy"
Mulan,tt0120762,"Animation, Comedy, Family, Adventure, Fantasy"
Patch Adams,tt0129290,"Biography, Drama, Comedy, Romance"
The Prince of Egypt,tt0120794,"Animation, Drama, Family, Musical, Adventure, Fantasy"
Armageddon,tt0120591,"Adventure, Action, Thriller, Sci-Fi"
Quest for Camelot,tt0120800,"Animation, Drama, Comedy, Family, Musical, Adventure, Fantasy"
The Horse Whisperer,tt0119314,"Western, Drama, Romance"
Babe: Pig in the City,tt0120595,"Drama, Comedy, Family, Adventure, Fantasy"
Bunny,tt35519464,"Thriller, Drama, Comedy"
The Canterbury Tales,tt0067647,"History, Drama, Comedy"
Jolly Roger,tt22740250,Thriller
More,tt0064694,"Crime, Drama, Romance"
When Life Departs,tt0189205,"Animation, Short, Family"
Culture,tt0188533,"Short, Comedy"
Election Night (Valgaften),Not found,N/A
Holiday Romance,tt0188667,"Short, Comedy"
La Carte Postale (The Postcard),Not found,N/A
Victor,tt3222852,"Biography, Drama, Crime"
The Mask of Zorro,tt0120746,"Comedy, Action, Thriller, Romance, Adventure, Western"
Mighty Joe Young,tt0120751,"Adventure, Action, Thriller, Family"
Bulworth,tt0118798,"Drama, Comedy, Romance"
The Insider,tt0140352,"Biography, Drama, History, Thriller"
The Straight Story,tt0166896,"Biography, Drama"
Sweet and Lowdown,tt0158371,"Drama, Comedy, Music"
American Beauty,tt0169547,Drama
The Hurricane,tt0174856,"Biography, Sport, Drama"
The Cider House Rules,tt0124315,"Drama, Romance"
Magnolia,tt0175880,Drama
The Green Mile,tt0120689,"Crime, Mystery, Fantasy, Drama"
The Talented Mr. Ripley,tt0134119,"Crime, Drama, Thriller"
The Sixth Sense,tt0167404,"Thriller, Mystery, Drama"
Tumbleweeds,tt0161023,"Drama, Comedy"
The End of the Affair,tt0172396,"Mystery, Drama, Romance"
Music of the Heart,tt0166943,"Drama, Music"
